month,title,author,rating,review
January,Ready Player One,"[""Ernest Cline""]",4
February,THE GREAT GATSBY (1925 Edition),"[""F. Scott Fitzgerald""]"
March,1Q84,"[""Haruki Murakami""]",3.5
April,Tsar,"[""Ted Bell""]",4.5
May,Kafka on the Shore,"[""Haruki Murakami""]",4
June,The Subtle Art of Not Giving a F*ck,"[""Mark Manson""]",5,Here is a June review
July,Faulkner,"[""Joseph Leo Blotner""]",Never heard of her
August,The Rosie Project,"[""Graeme Simsion""]",4March,The Rosie Project was fun and super easy to read.
September,The Testaments,"[""Margaret Atwood""]",4
October,The Effect of Topical Application of Lavender Essential Oil on the Intensity of Pain Caused by the Insertion of Dialysis Needles in Hemodialysis Patients: A Randomized Clinical Trial
